Name,P_1,PV_1,P_2,PV_2,P_3,PV_3,P_4,PV_4,P_5,PV_5,P_6,PV_6,P_7,PV_7,P_8,PV_8,P_9,PV_9,P_10,PV_10,P_11,PV_11,P_12,PV_12,P_13,PV_13,P_14,PV_14
"
Krishna Kunj Central Courtyard
",Address,"CENTRAL COURT YARD, Bhagyalaxmi Nagar, Quthbullapur, Hyderabad, Telangana
",Project Size,"1 Acre
",Launch Date,"Dec 21
",Status,"Under Construction
",Price per Sqft,₹6000,Possession by,"Dec 24
",Total Units,"130
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500055
",,
"
Vashista Icon
",Status,"Under Construction
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500092
",,,,,,,,,,,,,,,,,,,,
"
Candeur Twins
",Address,"Miyapur, Hyderabad, Telangana
",Project Size,"3 Acre
",Launch Date,"Mar 23
",Status,"Under Construction
",Price per Sqft,₹6915 - 7735,Possession by,"Jun 26
",Total Units,"742
",Total Towers,"2
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500049
",,,,,,
"
Hamlet
",Address,"Survey no. 273, Medchal, Hyderabad
",Project Size,"1 Acre
",Launch Date,"Oct 20
",Status,"Ready To Move
",Price per Sqft,₹5999,Completed in,"Aug 23
",Total Units,"25
",Project Type,"Residential
",Property Type,"Villa
",Pincode,"501401
",,,,,,,,
"
Ambience Courtyard
",Address,"Manikonda, Hyderabad
",Project Size,"8 Acre
",Launch Date,"Jul 20
",Status,"Under Construction
",Price per Sqft,₹7990 - 10569,Completed in,"Dec 23
",Total Units,"853
",Total Towers,"8
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500089
",,,,,,
"
Confident Ridge
",Address,"Chandanagar, Hyderabad
",Project Size,"6263 Sq-yrd
",Launch Date,"Nov 23
",Status,"Under Construction
",Price per Sqft,₹6300,Possession by,"Jun 28
",Total Units,"154
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500050
",,,,,,
"
APR Pranav Townsquare
",Project Size,"6 Acre
",Launch Date,"Aug 19
",Status,"Under Construction
",Price per Sqft,₹6034,Possession by,"May 24
",Total Units,"516
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"502325
",,,,,,,,
"
Belmond County
",Address,"Belmondy County, Kangaguda Village, Near Mekaguda SEZ, Shadnagar, Hyderabad
",Project Size,"33 Acre
",Launch Date,"Aug 23
",Status,"Ready To Move
",Price per Sqft,₹1444 - 1444,Completed in,"Sep 23
",Total Units,"99
",Project Type,"Residential
",Property Type," Plot
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"509216
",,,,
"
Esteem
",Address,"S.Nos. 63P, 64P, 65P, 66, 67P, 68P, 69P, Shambipur Village, Dundigal Municipality
",Project Size,"5 Acre
",Launch Date,"Jan 22
",Status,"Under Construction
",Price per Sqft,₹5025 - 5137,Possession by,"Jan 27
",Total Units,"936
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"500043
",,
"
Sumadhuras Gardens By The Brook
",Address,"Sathamrai Village, ShamshabadHyderabad, Telangana 501218
",Project Size,"9 Acre
",Launch Date,"Sep 22
",Status,"Under Construction
",Price per Sqft,₹5915 - 7385,Possession by,"Sep 25
",Total Units,"908
",Total Towers,"8
",Project Type,"Residential
",Property Type,"Flat
",Commencement Certificate,"Yes
",Pincode,"501218
",,,,
"
Modi Elegance
",Address,"Kukatpally, Hyderabad, Telangana, India.
",Project Size,"5 Acre
",Launch Date,"May 19
",Total Floors,"14
",Status,"Ready To Move
",Price per Sqft,₹3553 - 5615,Completed in,"Sep 22
",Total Units,"727
",Total Towers,"5
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500043
"
