Name,P_1,PV_1,P_2,PV_2,P_3,PV_3,P_4,PV_4,P_5,PV_5,P_6,PV_6,P_7,PV_7,P_8,PV_8,P_9,PV_9,P_10,PV_10,P_11,PV_11,P_12,PV_12,P_13,PV_13,P_14,PV_14
"
Bhavyas Tulasi Vanam
",Address,"Usha Mullapudi Cardio Hospital RdNavodaya Colony, KukatpallyHyderabad, Telangana
",Project Size,"9 Acre
",Launch Date,"Feb 13
",Total Floors,"15
",Status,"Ready To Move
",Price per Sqft,₹7489 - 8966,Completed in,"Nov 15
",Total Units,"945
",Total Towers,"7
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"Yes
",Commencement Certificate,"Yes
",Pincode,"500072
"
"
Aparna Cyber Shine
, , , , , , , ",Address,"Osman Nagar, Hyderabad, Andhra Pradesh
",Project Size,"3 Acre
",Launch Date,"Dec 22
",Status,"Under Construction
",Price per Sqft,₹6433,Possession by,"Mar 26
",Total Units,"330
",Total Towers,"2
",Project Type,"Residential
",Property Type,"Flat
",Commencement Certificate,"Yes
",Pincode,"500019
",,,,
"
Pavans Green West
",Project Size,"19 Acre
",Launch Date,"Dec 21
",Status,"Ready To Move
",Price per Sqft,₹2889,Total Units,"228
",Project Type,"Residential
",Property Type," Plot
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"502329
",,,,,,,,
"
Veekay The Communittee
",Address,"The Communittee, Behind H.P petrol pump, Mokila, Telangana, 501503.
",Project Size,"9172 Sq-yrd
",Launch Date,"Mar 21
",Status,"Under Construction
",Price per Sqft,₹5199,Completed in,"Mar 23
",Total Units,"175
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"501503
",,
"
Manhattan
",Address,"Khajaguda, Near Oakridge School, Raidurg, Hyderabad
",Project Size,"15 Acre
",Launch Date,"Jul 23
",Status,"Under Construction
",Price per Sqft,₹8992 - 9923,Possession by,"Jul 27
",Total Units,"816
",Total Towers,"8
",Project Type,"Residential
",Property Type,"Flat
",Commencement Certificate,"Yes
",Pincode,"500075
",,,,
"
Raghava IRIS
",Address,"Rai Durg, Hyderabad, Andhra Pradesh
",Project Size,"7 Acre
",Launch Date,"Oct 22
",Status,"Under Construction
",Price per Sqft,₹12498 - 14009,Possession by,"Dec 26
",Total Units,"528
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500081
",,,,,,
"
Ramky One Orbit
",Address,"Nallagandala, Hyderabad
",Project Size,"5 Acre
",Launch Date,"Sep 22
",Status,"Under Construction
",Price per Sqft,₹8208,Possession by,"Dec 25
",Total Units,"518
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"Yes
",Commencement Certificate,"Yes
",Pincode,"500019
",,
"
SN Enclave
",Address,"S N Enclave, Plot no 3 and 4, Quthbullapur, Suchitra, Secunderabad
",Project Size,"480 Sq-yrd
",Launch Date,"Dec 22
",Status,"Under Construction
",Price per Sqft,₹4927 - 4928,Possession by,"Sep 26
",Total Units,"10
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500055
",,,,,,
"
Praneeth Pranav Grove Park
",Address,"205, 206, 207, 208 AND 212/P, Plot No. Of Site: , at Dundigal Gandimaisamma
",Project Size,"70 Acre
",Launch Date,"Aug 22
",Status,"Under Construction
",Price per Sqft,₹7200 - 7250,Possession by,"Aug 25
",Total Units,"884
",Project Type,"Residential
",Property Type,"Villa
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"500043
",,,,
"
E11 Evolve
",Address,"Kompally , MEDCHAL-MALKAJGIRI, Hyderabad
",Project Size,"4818 Sq-yrd
",Launch Date,"Apr 22
",Status,"Under Construction
",Price per Sqft,₹6199,Possession by,"Mar 24
",Total Units,"86
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"500043
",,
