Name,P_1,PV_1,P_2,PV_2,P_3,PV_3,P_4,PV_4,P_5,PV_5,P_6,PV_6,P_7,PV_7,P_8,PV_8,P_9,PV_9,P_10,PV_10,P_11,PV_11,P_12,PV_12,P_13,PV_13,P_14,PV_14
"
Ayati Lake View
",Address,"Chengicherla, Hyderabad, Telangana 500098
",Project Size,"71680 Sq-ft
",Launch Date,"Jun 21
",Status,"Under Construction
",Price per Sqft,₹4800,Completed in,"Sep 23
",Total Units,"60
",Total Towers,"4
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500051
",,
"
Alekhya Enclave
",Address,"ALEKHYA ENCLAVE, Rai Durg, Serilingampally, Ranga Reddy
",Project Size,"2420 Sq-yrd
",Launch Date,"Mar 23
",Status,"Under Construction
",Price per Sqft,₹7486 - 7500,Possession by,"Dec 24
",Total Units,"28
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Commencement Certificate,"Yes
",Pincode,"500081
",,,,
"
Muppas Indraprastha
",Address,"Osman Nagar Rd, Osman Nagar, Hyderabad, Telangana,502032
",Project Size,"36 Acre
",Launch Date,"Apr 17
",Status,"Under Construction
",Price per Sqft,₹7925,Completed in,"Apr 23
",Total Units,"300
",Project Type,"Residential
",Property Type,"Villa
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"500019
",,,,
"
Shangrilas Abbham
",Address,"Abhyudaya Nagar, Kismatpur rd, Bandlaguda Jagir Beside Rock Church, Kismatpur, Hyderabad, Telangana
",Project Size,"6 Acre
",Launch Date,"Mar 23
",Status,"Under Construction
",Price per Sqft,₹6000 - 6608,Possession by,"Dec 24
",Total Units,"366
",Total Towers,"5
",Project Type,"Residential
",Property Type,"Flat
",Commencement Certificate,"Yes
",Pincode,"500030
",,,,
"
Brigade Citadel
",Address,"Erragadda Road, Erragadda, Medchal-Malkajgiri, Balanagar, Hyderabad
",Project Size,"11 Acre
",Launch Date,"Dec 21
",Status,"Under Construction
",Price per Sqft,₹6372 - 8140,Possession by,"Sep 25
",Total Units,"1198
",Total Towers,"9
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500045
",,
"
Highway Meadows
",Project Size,"50 Acre
",Launch Date,"Jun 20
",Status,"Under Construction
",Price per Sqft,₹2000,Completed in,"Aug 22
",Total Units,"625
",Project Type,"Residential
",Property Type," Plot
",Commencement Certificate,"Yes
",Pincode,"509216
",,,,,,,,
"
Hallmark Vesta
",Project Size,"3 Acre
",Launch Date,"Jul 20
",Status,"Under Construction
",Price per Sqft,₹4556,Completed in,"Dec 22
",Total Units,"222
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"502300
",,,,,,,,
"
Candeur Lakescape
",Address,"Candeur Lakescape Survey No.71, 72 & 73 Road No. 4, Spring Valley, Serilingampally Hyderabad
",Project Size,"9 Acre
",Launch Date,"Apr 23
",Status,"Under Construction
",Price per Sqft,₹5800 - 15952,Possession by,"Apr 27
",Total Towers,"7
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500019
",,,,
"
Super Homes Abhirama
",Address,"#8-2-103/4 Karmanghat, Nagarjuna Sagar Rd, Hyderabad, Telangana
",Project Size,"1 Acre
",Launch Date,"Mar 20
",Status,"Ready To Move
",Price per Sqft,₹5000 - 7366,Completed in,"Sep 23
",Total Units,"175
",Total Towers,"1
",Project Type,"Residential
",Property Type,"Flat
",Pincode,"500035
",,,,,,
"
Vajra The Royal Park
",Address,"Sy No.166/27,Near Creek planet school,Bowrampet,Hyderabad - 500043
",Project Size,"6 Acre
",Launch Date,"Feb 22
",Status,"Under Construction
",Price per Sqft,₹4706,Possession by,"Dec 24
",Total Units,"764
",Total Towers,"6
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"No
",Pincode,"500043
",,
"
BPS Twin Towers
",Address,"Champapet Main Road, Saidabad, Hyderabad ,Telangana
",Project Size,"3 Acre
",Launch Date,"May 20
",Status,"Under Construction
",Price per Sqft,₹6226 - 6604,Completed in,"Dec 23
",Total Units,"300
",Total Towers,"2
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500059
",,
"
Pacifica Hillcrest
",Address,"Financial District, Gachibowli, Puppalaguda, Hyderabad, Telangana
",Project Size,"40 Acre
",Launch Date,"Apr 15
",Total Floors,"19
",Status,"Under Construction
",Price per Sqft,₹7423 - 10989,Possession by,"Dec 25
",Total Units,"1521
",Total Towers,"20
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500032
"
"
Kundhan county
",Project Size,"30 Acre
",Launch Date,"May 19
",Status,"Ready To Move
",Price per Sqft,₹4785,Total Units,"463
",Project Type,"Residential
",Property Type," Plot
",Pincode,"502307
",,,,,,,,,,,,
"
Vaishnavi Houdini
",Address,"Bandlaguda Jagir, Hyderabad
",Project Size,"4 Acre
",Launch Date,"Aug 21
",Status,"Under Construction
",Price per Sqft,₹5600 - 6391,Possession by,"Dec 24
",Total Units,"585
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500093
",,
"
IRA M3
",Address,"502300- Kollur, Hyderabad
",Project Size,"5 Acre
",Launch Date,"Oct 22
",Status,"Under Construction
",Price per Sqft,₹4072 - 5521,Possession by,"Jun 25
",Total Units,"695
",Total Towers,"3
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"502300
",,
"
Cozy Essence Elite
",Address,"Dulapally, Hyderabad
",Project Size,"1 Acre
",Launch Date,"Jul 21
",Status,"Under Construction
",Price per Sqft,₹4714,Completed in,"May 23
",Total Units,"90
",Total Towers,"2
",Project Type,"Residential
",Property Type,"Flat
",Occupancy Certificate,"No
",Commencement Certificate,"Yes
",Pincode,"500100
",,
